"biomarker","auc","CN_Mean","CN_SD","AD_Mean","AD_SD","pvalues","statistic","foldchange","qvalues"
"TG(17:2_34:2)",0.508,0.198,0.095,0.197,0.096,0.857,-0.18,0.993,0.927
"TG(17:2_34:3)",0.529,0.423,0.272,0.393,0.254,0.175,-1.359,0.93,0.415
"TG(17:2_36:2)",0.533,0.268,0.107,0.259,0.1,0.258,-1.133,0.964,0.511
"TG(17:2_36:3)",0.516,0.355,0.157,0.35,0.159,0.697,-0.39,0.985,0.853
"TG(17:2_36:4)",0.504,0.799,0.364,0.803,0.398,0.91,0.113,1.005,0.964
"TG(17:2_38:5)",0.526,0.364,0.191,0.349,0.158,0.303,-1.03,0.959,0.555
"TG(17:2_38:6)",0.503,0.362,0.186,0.362,0.157,0.997,0.004,1,0.997
"TG(17:2_38:7)",0.508,0.157,0.08,0.159,0.07,0.766,0.298,1.012,0.89
"TG(18:0_30:0)",0.539,1.721,2.519,1.311,1.624,0.016,-2.411,0.762,0.089
"TG(18:0_30:1)",0.503,0.832,1.163,0.785,0.92,0.589,-0.541,0.944,0.772
"TG(18:0_32:0)",0.568,5.192,5.785,3.844,4.125,0.001,-3.314,0.74,0.014
"TG(18:0_32:1)",0.539,4.168,4.174,3.592,3.533,0.071,-1.81,0.862,0.254
"TG(18:0_32:2)",0.513,1.39,1.306,1.279,1.071,0.259,-1.129,0.92,0.511
"TG(18:0_34:2)",0.528,11.458,8.183,10.499,7.003,0.128,-1.526,0.916,0.345
"TG(18:0_34:3)",0.507,2.425,1.487,2.36,1.355,0.583,-0.549,0.973,0.769
"TG(18:0_36:1)",0.555,4.024,3.457,3.443,3.504,0.047,-1.987,0.856,0.197
"TG(18:0_36:2)",0.548,15.152,9.651,13.761,8.469,0.064,-1.853,0.908,0.246
"TG(18:0_36:3)",0.52,17.062,9.506,16.336,7.772,0.309,-1.018,0.957,0.56
"TG(18:0_36:4)",0.509,7.35,4.3,7.321,3.503,0.927,-0.091,0.996,0.967
"TG(18:0_36:5)",0.523,1.454,0.616,1.387,0.498,0.148,-1.45,0.954,0.374
"TG(18:0_38:6)",0.528,1.602,0.465,1.539,0.387,0.074,-1.788,0.961,0.259
"TG(18:0_38:7)",0.525,0.46,0.11,0.448,0.108,0.186,-1.324,0.974,0.431
"TG(18:1_26:0)",0.507,1.349,2.451,1.244,1.857,0.556,-0.589,0.923,0.748
"TG(18:1_28:1)",0.519,1.722,2.02,1.752,1.877,0.853,0.185,1.017,0.927
"TG(18:1_30:0)",0.511,19.114,18.714,17.683,15.833,0.317,-1.002,0.925,0.564
